Sample.ID,Class,X405,X435,X450,X470,X505,X525,X570,X590,X630,X645,X660,X700,X850,X870,X890,X910,X940,X970,StdDev.405,StdDev.435,StdDev.450,StdDev.470,StdDev.505,StdDev.525,StdDev.570,StdDev.590,StdDev.630,StdDev.645,StdDev.660,StdDev.700,StdDev.850,StdDev.870,StdDev.890,StdDev.910,StdDev.940,StdDev.970
b2_30e,30,6.902617,10.69364,13.85647,18.24661,20.51865,19.54293,17.28458,26.20975,37.8129,41.76688,44.60998,58.70966,56.38334,54.48574,51.65252,45.74704,44.21304,37.08455,1.255067,2.593566,3.471585,4.413243,4.889747,4.794032,4.500299,5.516462,5.897642,5.715577,5.606772,4.669838,4.275252,4.353467,4.527174,4.197817,4.176851,3.916087
b2_40a,40,6.407794,9.344397,11.9825,15.72011,17.72295,16.79106,14.7797,23.0042,34.2912,38.30652,41.23093,56.39462,54.15242,52.20321,49.35357,43.76118,42.30698,35.59687,1.019523,2.019849,2.698309,3.432822,3.81874,3.736855,3.474988,4.429991,4.836786,4.745357,4.701214,3.964223,3.601296,3.691694,3.932015,3.708488,3.701939,3.50946
b2_40b,40,6.537904,9.583671,12.41415,16.55592,18.63143,17.63564,15.48295,23.97583,35.72472,39.74049,42.63476,57.38699,55.01799,53.08631,50.26055,44.56917,43.08974,36.23255,1.076036,2.027992,2.681875,3.414357,3.776197,3.698026,3.433074,4.427287,4.905363,4.764214,4.703458,4.003016,3.5686,3.615931,3.801795,3.53955,3.535372,3.355655
b2_40c,40,6.498869,9.423785,12.19833,16.35951,18.08852,17.09513,15.16646,22.73498,33.86542,37.87166,40.70824,55.53859,54.2578,52.34378,49.52158,43.92345,42.47987,35.80407,1.007344,2.075701,2.835699,3.700124,4.227499,4.137562,3.819173,5.23436,5.90347,5.76765,5.713672,4.696559,3.972041,4.064076,4.299247,4.122507,4.130826,3.983309
b2_40d,40,6.336532,8.947358,11.58469,15.64791,17.25121,16.24852,14.32312,21.57193,32.80228,36.83553,39.6525,54.33703,53.41496,51.51072,48.68973,43.12835,41.67354,35.00985,1.062458,2.07931,2.82573,3.692589,4.163083,4.0755,3.778156,5.116562,5.777806,5.681931,5.68756,5.137625,4.263511,4.30022,4.459662,4.129175,4.115236,3.859352
b2_40e,40,6.26546,8.995753,11.61119,15.54512,17.28141,16.33421,14.33057,22.09184,33.50005,37.53199,40.34572,54.94861,53.58522,51.68823,48.88528,43.35847,41.90737,35.27343,1.112988,2.065636,2.762272,3.579216,3.908166,3.8259,3.544723,4.689078,5.208587,5.111435,5.115592,4.701506,4.001136,4.021835,4.166655,3.825142,3.809657,3.566669
b2_50a,50,6.403522,9.092373,11.58275,15.24266,17.13425,16.21732,14.06423,22.15019,33.09126,36.97999,39.80141,54.20784,52.19055,50.2706,47.51223,42.26854,40.91404,34.65836,0.9886435,2.059544,2.789303,3.60669,4.02526,3.936611,3.654549,4.687854,5.252141,5.152135,5.087839,4.251021,3.712107,3.819545,4.015304,3.805887,3.79607,3.62163
b2_50b,50,6.303884,8.697598,11.19725,15.10808,16.71616,15.76047,13.66119,21.08257,31.69196,35.57269,38.37347,52.9506,51.62986,49.70412,46.91894,41.67223,40.30671,34.06667,0.9899462,1.984488,2.782418,3.750077,4.141942,4.023744,3.667242,4.713342,5.320377,5.201344,5.12629,4.233735,3.733202,3.835578,4.017897,3.75789,3.735859,3.513441
b2_50c,50,6.503634,9.241333,11.92365,16.04025,17.68344,16.71078,14.63664,22.15811,33.10602,37.06658,39.84514,54.03657,53.00767,51.12466,48.3666,42.93842,41.52528,35.04633,1.057053,2.126388,2.931965,3.878786,4.259823,4.162518,3.897952,4.918146,5.508071,5.387284,5.309848,4.520427,3.936646,4.029533,4.198455,3.936448,3.916858,3.691797
b2_50d,50,6.28752,8.746517,11.1701,14.89459,16.47992,15.55055,13.4946,20.88311,31.43801,35.31601,38.09458,52.50207,51.18097,49.28397,46.53731,41.38996,40.05123,33.94909,0.9929985,1.984263,2.742157,3.656654,4.101011,3.988575,3.624021,4.902902,5.72619,5.669962,5.645129,4.906277,4.179187,4.262958,4.441947,4.184046,4.171566,3.934405
b2_50e,50,6.415238,9.276894,12.01614,16.20284,17.93362,16.96818,14.94167,22.78254,33.88575,37.84534,40.62089,54.50183,53.11791,51.26069,48.53817,43.10204,41.66264,35.10403,1.07391,2.093929,2.865629,3.791757,4.162815,4.074645,3.861331,5.017173,5.634515,5.570883,5.574925,5.115524,4.382504,4.417274,4.5132,4.13435,4.095886,3.76556
