Sample_ID,Class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
M2_13106,0,97060,2620822,570306,44355,0,272173,15931,39522,238876,1121074,0,60870,1013901,3134303,358795,87777,0,42733,140456,52428,452813,69621,183072,95046,474748,68616,119752,78168,767419,66743,106936,943730,13308,0,0,46592,0,15046,0,636655,557187,1710690,17437,19019,24769950,32611,15299,15051,0,479109,25352,0,3347926,0,125257,249833,528722,151257,76447,92933,44184,666695,0,212255,0,191965,56726,133837,29248,0,114170,26785,345594,2378873,3455327,872888,36537,170902,41418,104265,68295,214426,34649,17387,144449,0,354706,0,18720,0,0,119838,22128,75039,0,16388,478146,0,26112,0,19399
M3_13106,0,93312,2643763,1121773,46519,0,316242,11081,30649,236390,632671,0,29211,927674,1042703,465455,104327,0,25414,113437,43661,924631,81332,315825,139995,630302,108335,202546,126856,1118799,72517,164467,802522,15434,0,0,62890,0,14223,0,772537,487028,2198389,17427,24764,35259991,26025,10190,19139,0,254996,19159,0,5427852,0,162101,349176,822722,196093,101346,115365,46897,1026315,0,535803,0,343129,104750,154644,39295,0,171661,39226,524230,3646889,5932481,1131901,59956,244427,60607,118232,60690,329074,36511,25536,206474,0,1072653,0,43803,0,0,193347,33636,119368,0,23924,724821,34869,41267,26932,39141
M4_13106,0,71810,2667861,640920,30723,0,130602,30485,114571,185051,1284504,0,41331,1089658,1785759,432411,96029,0,62478,288780,34684,770793,73677,263348,90774,499492,63435,121328,95180,867722,57497,117480,842835,11305,0,0,55363,0,14015,0,792293,419855,1600574,15294,20384,26942559,50885,14411,20108,0,309255,24991,0,4419817,0,164604,495767,625685,197221,95082,106206,44973,733885,0,318551,0,221467,67873,142032,36117,0,127100,63997,330260,3023829,4610566,1156287,46461,190785,43330,97921,100440,245494,31787,22934,202287,0,668197,0,69813,0,0,140173,29420,92007,0,17631,599882,28971,33659,27850,58108
M5_13106,0,69523,1997696,851443,35783,0,256630,19024,44860,197082,1176396,0,30258,1512864,852595,607172,121089,0,49013,174719,28280,745159,71582,296088,110541,564200,60618,158149,102709,878486,71430,176934,1642042,9382,0,0,45803,0,7839,0,496657,419054,1723567,11378,16735,27918875,33161,8541,11084,0,225935,12618,0,4594171,0,122584,328570,699508,152179,85004,126406,38590,848614,0,153320,0,221935,77045,140484,33422,0,152035,46041,285014,3507821,5647270,832038,52379,232112,58349,125395,67591,271163,29484,24282,134752,0,211099,0,44026,0,0,152972,34610,131748,0,61004,642653,0,37240,29201,54575
M1_13113,0,61442,1307818,1202846,71206,0,192567,20291,45135,124968,1295132,0,44210,513263,1056147,737907,95477,0,25227,335627,36243,0,68754,24733,101661,736492,72912,193902,123443,920472,84383,185676,802055,0,0,0,22572,0,11260,0,376692,572498,2019867,9409,23283,29258481,11836,38339,14648,0,133917,0,0,5218716,0,128957,500015,741866,158989,90864,141183,36040,1059099,0,254986,0,255709,64333,129222,33535,0,180740,28185,330956,4554375,7460240,679345,46025,304579,86081,54060,40142,315494,35766,20846,125858,0,367198,0,29556,0,0,152418,41732,129285,0,14595,700569,0,25205,27164,22968
M2_13113,0,79369,1664243,1134410,55036,0,160414,15379,45823,139592,730812,0,45388,573013,1409997,753705,98238,0,26589,282567,35177,0,75026,25504,99250,653275,95791,191887,112658,939341,82300,182042,974784,0,0,0,26317,0,14657,0,669127,606455,1906685,9700,25692,31114449,16650,35454,20799,0,239757,0,0,5517870,0,176686,542835,671245,216009,114967,147031,38782,1104601,0,142290,0,284361,82978,152245,36765,0,177066,28799,356847,4583400,7193637,630212,56155,293361,76420,52468,43606,312665,35334,24701,186346,0,64044,0,24884,0,0,172886,42187,124297,0,14647,633874,0,28395,24395,0
M3_13113,0,75956,1752788,2176315,97005,0,330839,22582,62909,295523,1509994,0,42342,420324,1276780,674670,88724,0,23465,247752,35796,0,59645,20945,81280,545527,76200,163662,120217,785402,70935,138764,755387,0,0,0,24936,0,13702,0,719532,546858,1659203,8926,19542,26575205,16615,12134,15471,0,270751,0,0,5069943,0,174942,416400,560682,208664,95968,105589,34179,879005,0,219684,0,232265,65993,130969,31362,0,139352,28976,276462,3491256,6418740,612084,44458,232855,57269,49558,50470,256763,31431,19692,208061,0,287675,0,25920,0,0,127792,30723,99302,0,13687,512428,0,24155,0,0
M4_13113,0,85049,1917812,1079779,53488,0,172993,18072,29289,144803,1072340,0,50295,601688,1498723,714425,101529,0,27878,198594,38937,0,77667,25637,109393,665614,88647,193841,143840,1003955,84171,214645,1041302,0,0,0,29215,0,12487,0,839256,644410,2043731,10204,23359,35070527,18998,13586,19665,0,310161,0,0,5698551,0,200418,414065,710369,254214,106679,153349,38261,1323696,0,289245,0,318381,86027,146883,34131,0,191561,32385,415442,4525830,8993532,1140614,51253,361189,83101,59072,54590,378028,37298,23413,210539,0,572621,0,39197,0,0,197330,42351,140390,0,18137,768934,18320,37309,27426,99011
M5_13113,0,61457,1278913,2307788,84608,0,305172,20609,40990,229793,1495800,0,41181,459131,710511,697719,89948,0,21069,190835,29644,0,57879,17181,67754,506651,90870,168388,108871,804337,65893,152293,851209,0,0,0,22849,0,7824,0,448470,689750,1574170,6393,10317,27269572,10140,11434,14341,0,196456,0,0,4864502,0,150006,358326,521059,193080,82227,103108,27348,931765,0,436416,0,225714,62331,110708,29556,0,134622,27643,306550,3103928,6080502,618410,38326,227384,56489,44182,30436,262480,31704,17624,159948,0,851032,0,40388,0,0,133677,25087,90253,0,12066,513598,10272,25350,20902,52379
M1_13134,0,54395,746347,1016078,58984,0,381943,0,22780,168526,1965482,0,29730,275819,100550,1586302,186616,0,10753,98752,23128,0,47908,15939,68478,324551,51247,173884,49095,586217,35945,123678,350098,0,0,0,21219,0,0,0,40529,361817,1364206,95770,22913,21223502,0,6926,19229,0,0,18044,86058,4943121,0,97254,290450,370428,68692,88896,76862,45731,568169,0,243311,0,185539,54724,166217,44054,0,79044,23038,261696,2153053,3582265,429840,64912,222534,57857,58545,9565,181555,31445,28309,58984,0,799193,0,19858,0,0,104812,15148,53474,0,10538,350838,0,26037,21907,0
