SampleId,Class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
3b_100a,100,74494,7697,3919747,17461,2576797,126634,12348,494015,1808008,152104,856403,145639,0,125186,13333,0,0,1908763,58180,83623,3937064,177451,25742,0,21594,524072,271303,0,0,0,135479,0,40044,0,258329,44920,79510,13662,1668377,0,422765,31301,187456,2282406,274831,687011,6374983,687812,652177,0,46061,23604,0,0,0,43664,27776,86677,0,0,1191664,4345996,243135,0,0,0,0,70344782,192750,47973,0,25859,151860,0,109657,17401639,62275,173387,467326,1478188,0,96595,137182,170900,906148,0,0,191144,3007847,126731,69542,0,1056341,280834,30789,0,0,466241,149427,306620,78700,88402,321426,85107,130456,359120,26292520,21666937,0,0,76455,1227052,78951,0,330801,0,206257,0,174687,861841,0,17365,58072,0,0,0,785654,333754,15978,1627730,203630,178213,38166,370786,0,214958,209227,189867,374717,0,43900,0,0,43641,0,2071341,30076,170545,65253,0,98743,123868,124613,134691,0,0,0,15339,0
3b_100b,100,81936,13449,5029650,19334,2485620,64933,23454,275543,1633408,220623,227603,142572,0,192658,18720,0,0,1688343,66648,60582,3404616,256013,23141,0,26646,960859,496622,0,0,0,163272,0,47949,0,283787,53597,101652,27860,1731587,0,460734,19591,249098,2274870,315941,517556,6616944,613744,1103794,0,63212,32709,0,0,0,0,26582,253169,0,0,1690395,4199552,234135,0,0,0,0,68699488,204517,17440,0,10328,471372,294232,92388,15205235,54236,236714,565463,1391375,0,74699,304925,239732,732130,0,0,207072,2674889,126563,45656,0,1425992,281535,32200,0,0,413020,214963,172878,83575,101587,259035,97636,112664,314245,22234356,23033006,0,0,68416,0,83456,0,203441,242525,188746,0,139693,687582,62748,16110,48037,0,0,0,974546,139370,23218,1192054,157165,189388,28195,267304,0,182926,146083,189921,282111,0,38371,292647,0,0,0,1544863,33864,135554,75458,0,74773,69086,86843,94925,0,0,0,0,0
3b_100c,100,84635,9245,2261324,25362,1414073,72096,10519,381326,916887,190426,412509,167224,0,187082,19247,0,0,1969937,64459,106903,5284320,290901,27107,0,30332,545340,500371,0,0,0,131262,0,48072,0,296945,51922,110489,24439,1926472,0,536219,34977,219419,2424429,307630,623304,3737128,290146,1725120,34492,85486,36194,0,0,0,0,31910,174054,0,0,1513247,4709303,232671,0,0,0,0,69253188,190660,39444,0,19938,484968,0,101385,19227637,50039,188265,565134,1543550,0,108023,190757,193902,798110,0,0,211015,2883369,129797,109850,0,1010009,313599,34867,0,0,485977,263274,438969,80824,94510,325958,85145,124778,383208,23291460,21393984,0,0,70494,0,79362,0,288035,259914,223341,0,139967,835509,66323,22054,58772,0,0,0,841429,423884,21832,1683817,184867,218644,32932,377655,0,295873,201107,204074,368537,0,53970,0,0,32419,0,2115702,32835,163891,79498,0,97683,140551,146740,123928,96773,0,0,0,0
3b_100d,100,52621,11129,3646970,15061,2274424,91141,9493,547210,1510845,147772,610518,127463,0,114685,12889,0,0,1886221,44334,62460,4033856,197095,22469,0,18556,428570,332518,8674,18508,0,156634,0,38548,0,225605,40246,81624,13415,1514444,0,430943,21915,175011,1885974,175011,604087,6416995,561385,790748,0,52930,25372,60706,0,0,0,28595,115702,0,0,1107633,4032564,221905,0,0,0,0,59449189,151869,26748,0,13476,0,0,101808,17176773,40298,150791,502212,1402026,0,85770,150471,165006,831605,90695,0,149736,2493864,117498,95280,0,1376456,296458,33088,0,0,394352,157346,93529,70956,85464,297421,85802,112191,305644,24080513,18460223,0,0,80149,0,78215,0,238714,294816,180816,0,126036,725407,66758,23135,59692,0,0,0,892831,448104,26623,2070181,201867,154012,34971,298344,0,231786,192596,174710,393047,0,45897,0,0,33263,0,2193877,31141,136022,77342,0,114926,152140,101766,128252,77309,0,0,0,0
3b_100e,100,75185,7696,3172837,16927,2397743,104434,19992,535717,1819796,164024,847676,132651,0,182387,17027,0,0,1774989,53876,67545,3513920,243807,28140,0,20307,601118,308310,0,0,0,190231,0,43510,0,320726,50754,91504,21680,1533641,0,471083,30148,204780,2275577,274124,687959,5336255,448712,1156293,23672,61168,26301,0,0,0,0,29674,176478,0,0,1866065,4089162,218938,0,0,0,0,70688425,198516,28991,0,14904,125320,0,113277,16134661,50444,239636,530276,1400656,0,86497,243166,232024,724595,125691,0,201200,3053554,139472,86160,0,1890562,311757,34828,0,0,413724,157458,106601,85555,107920,296561,104249,127771,375797,24152592,21657319,0,0,92026,741796,95480,0,322622,264523,169904,115554,155852,871006,68143,22000,62933,0,0,0,1110358,313927,30718,1401866,173428,185317,31661,316582,0,193024,187692,189854,348938,0,48677,0,0,36212,0,2224172,35867,143212,70181,0,97652,142394,122852,125232,0,0,0,0,0
4b_100a,100,83058,18321,2092010,17857,3304469,85339,12716,967318,1347893,217106,543378,644552,0,102685,25487,0,0,969212,82710,75542,2430472,172265,23987,45667,0,266788,900032,53274,57924,0,0,0,46988,15734,289750,45653,134295,46729,1428113,233859,552881,28097,115166,2147537,0,553311,2270141,0,386536,0,57193,37309,0,0,0,0,0,0,0,0,1050359,3913263,0,0,0,123631,106945,52990774,147433,25533,0,23555,156154,0,0,18407429,59310,139843,455576,5335800,0,0,169265,136344,564804,74038,0,149574,1703723,153938,803223,0,253400,175048,0,0,0,551181,184977,0,0,0,393947,0,0,409043,16979873,11448519,0,661952,65868,1149344,66952,0,186245,191591,235054,0,73781,456679,77235,28250,26399,0,0,104845,115687,523565,0,736713,123726,226916,23314,296300,0,0,144119,159499,356615,0,82924,0,0,21359,0,1237935,35208,91321,667197,0,99312,190725,0,0,166661,62346,62611,97117,22920
4b_100b,100,79852,0,2100777,0,3444595,76392,0,1003502,649103,161937,579371,504912,0,46584,0,0,52441,880005,79102,48716,2421536,128421,25321,30205,0,111552,375958,23704,66814,0,0,0,37379,0,228654,43606,103962,43222,1101708,175417,489105,25955,121844,2266647,40011,677635,1941172,0,176550,0,41468,30102,0,0,0,0,35938,0,0,0,610378,3472108,0,0,0,117083,0,62619841,65311,14100,0,0,0,0,0,15756034,52609,80785,283849,2379121,0,0,70694,82860,539221,71428,0,175274,2106556,180912,360374,0,98328,78476,0,0,0,503098,166064,0,0,0,308409,0,0,435876,14597454,12543371,0,745400,82668,0,0,0,199917,166555,189040,0,33869,635295,74032,25266,0,0,0,0,51770,208858,0,491832,97106,227971,0,296957,0,0,106137,0,308128,0,0,54876,0,0,0,1530601,36451,89192,0,0,0,175777,112175,0,168362,0,0,47237,21396
4b_100c ,100,75323,5717,2544186,17036,3147157,78449,8646,938145,917722,144705,668265,481034,0,114876,0,0,0,767911,66165,60156,2231056,141925,26932,34956,0,166371,352550,39857,53341,0,0,0,34446,0,251894,40435,102912,31854,1199179,289808,491433,30908,116845,2541806,49641,702888,1536119,0,208878,30352,43929,30298,0,0,0,0,44834,0,0,0,1311771,4012352,178983,152057,0,0,195885,69836132,81508,43433,0,35081,0,236093,158978,16009821,68235,107616,331779,2204942,0,0,80667,107640,570858,86306,0,210106,2696366,207636,290124,0,194154,171112,0,0,0,734114,0,349233,171996,0,390052,18138,0,605816,18158502,12185416,0,817456,78433,0,69188,0,216643,161004,212136,140459,48486,783628,74452,26383,0,0,0,0,110116,338232,0,591395,133639,230593,28360,482398,0,60167,142975,96871,388504,0,67783,76733,0,0,0,1762926,33211,151812,217173,0,85975,261170,166442,0,0,58887,51027,131863,26295
4b_100d,100,132116,0,1544029,0,1779679,43388,0,610954,474844,79114,836093,253611,0,55822,21012,0,50454,1192146,79382,49418,2583024,149081,31897,0,0,161660,356751,22928,0,0,0,0,43209,0,246184,47198,119796,43254,1312464,211584,520558,0,144741,2743841,0,871715,4325606,0,705912,35451,48724,33396,0,0,0,0,41629,0,0,0,849256,4013780,182059,0,0,0,46247,76465367,106337,15228,0,10901,0,0,178436,18389336,65245,94377,251083,1230986,0,0,86356,91787,640052,82081,0,219487,3006556,198416,264438,0,185539,106587,0,0,0,526154,224223,324562,72237,0,369914,0,0,457955,18268560,14472303,0,0,84054,1283532,57123,0,233284,169748,207996,0,49307,836855,72517,26426,0,0,0,0,59856,313962,0,694785,113776,233151,0,344299,0,64567,141752,137339,396304,0,78195,74163,0,16713,0,2087515,29865,134832,154671,0,77719,210230,0,0,237022,49877,38520,93285,21416
4b_100e,100,76415,0,2934548,0,2896948,62925,0,615840,895271,116346,1055432,368773,0,66669,0,0,54177,956350,65520,33721,1939000,119094,24697,0,0,157657,339592,0,61209,0,0,0,37429,0,235150,46973,103311,39866,1132744,163231,452282,21487,132838,2211974,0,610254,3038402,0,269817,0,44265,34182,0,0,0,0,0,0,0,0,1037702,3237395,0,0,0,112102,0,63429065,96262,10117,0,0,0,0,135223,11491728,0,83778,243267,1305024,0,0,59383,85001,479848,72298,0,166146,2221596,170592,210208,0,216756,87840,0,0,0,467034,172062,251657,0,0,288301,0,0,394932,14491302,12386977,0,0,89649,1010337,54240,0,175772,153039,177802,0,49753,647308,74205,23919,0,0,0,0,59000,242492,0,507694,90785,196398,0,293677,0,0,103061,112039,262513,0,73488,54569,0,16806,0,1492622,33203,104424,112450,0,66547,160712,0,0,107939,52846,38242,86168,21232
