Sample ID,Class,405,435,450,470,505,525,570,590,630,645,660,700,850,870,890,910,940,970,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
X1_13267,2,8.122391,12.43758,16.07413,21.09169,25.74028,24.36202,19.87841,36.34258,58.09478,62.43555,64.74531,72.05746,65.98425,64.36667,61.94166,55.50197,54.06457,47.11766,1.397639,2.523086,3.255114,4.030592,4.533697,4.436591,3.997558,4.816694,4.713925,4.575918,4.582386,4.469909,4.508299,4.534524,4.601458,4.344219,4.445472,4.499472
X2_13267,2,8.262245,12.78025,16.54968,21.72719,26.60502,25.20595,20.61527,37.95636,60.05447,64.49474,66.86786,74.08561,68.18656,66.6181,64.19781,57.58298,56.22915,49.37371,1.457604,2.579846,3.290162,4.027452,4.46616,4.377538,4.00016,4.614593,4.511035,4.452811,4.502833,4.589805,4.630228,4.635942,4.685863,4.327891,4.417439,4.392438
X3_13267,2,7.872019,11.89531,15.34327,20.15285,24.508,23.19797,19.00424,34.62201,55.44954,59.94628,62.43406,70.9011,65.29787,63.71163,61.33201,55.02308,53.59894,46.75733,1.327501,2.378087,3.071284,3.803899,4.296238,4.198617,3.767411,4.679895,4.931509,4.762962,4.676279,4.244619,4.155204,4.182803,4.272583,4.060212,4.174548,4.284044
X4_13267,2,8.120508,12.5473,16.27763,21.42246,26.23496,24.8485,20.33383,37.17303,59.18828,63.67703,66.07163,73.46337,67.58044,66.04159,63.74638,57.29623,55.89949,49.02415,1.45131,2.532259,3.250438,4.024502,4.520744,4.410101,3.953555,4.82557,4.885252,4.791921,4.828846,4.759647,4.743927,4.757364,4.82233,4.530198,4.622411,4.62347
X5_13267,2,8.018293,12.22309,15.83938,20.90573,25.45048,24.04938,19.65942,35.87023,57.32815,61.7332,64.10905,71.90753,66.41253,64.80508,62.35152,55.78384,54.32652,47.30088,1.397664,2.474675,3.166493,3.900921,4.440047,4.350447,3.890608,4.997139,5.232479,5.047004,4.994829,4.597714,4.445642,4.46147,4.545135,4.305595,4.402464,4.488955
X1_13274,2,8.439482,13.74088,18.22223,24.74624,27.18903,25.87144,23.58889,33.17201,47.31953,51.76438,54.60807,67.16196,68.61058,67.0052,64.2641,57.24126,55.85912,48.84745,1.362761,2.540756,3.20289,3.774107,4.089988,4.070513,3.936323,4.669586,4.551417,4.430474,4.427099,4.256287,4.115603,4.13902,4.167196,3.874813,3.960741,3.994043
X1_13274_coloured,2,8.439482,13.74088,18.22223,24.74624,27.18903,25.87144,23.58889,33.17201,47.31953,51.76438,54.60807,67.16196,68.61058,67.0052,64.2641,57.24126,55.85912,48.84745,1.362761,2.540756,3.20289,3.774107,4.089988,4.070513,3.936323,4.669586,4.551417,4.430474,4.427099,4.256287,4.115603,4.13902,4.167196,3.874813,3.960741,3.994043
X2_13274,2,8.396456,13.80959,18.25847,24.73426,27.60516,26.17845,23.32917,33.49664,48.81836,53.21848,55.80121,66.88419,68.98993,67.4669,64.81065,57.78145,56.40703,49.38812,1.333776,2.501888,3.154831,3.728959,4.072082,4.045281,3.889089,4.643103,4.488536,4.402855,4.423048,4.374029,4.279507,4.302896,4.324097,3.992015,4.076886,4.101164
X3_13274,2,8.080105,12.41968,16.43513,22.68933,25.18418,23.65636,20.65949,30.09189,46.01495,50.47537,52.99928,64.18239,66.96071,65.40861,62.72755,55.81721,54.39931,47.32443,1.411066,2.585974,3.291052,3.898316,4.275587,4.259398,4.065372,4.973734,4.877798,4.763735,4.77038,4.615043,4.488932,4.516936,4.551086,4.214738,4.32183,4.358933
X4_13274,2,8.50948,13.65108,18.0731,24.51232,27.5218,26.13787,23.24356,33.75615,48.67675,52.9693,55.60446,67.10069,68.43478,66.85447,64.18423,57.27361,55.93092,49.03522,1.4343,2.531379,3.216212,3.884501,4.277059,4.220957,3.932086,4.900095,5.131354,5.090164,5.140383,5.266462,5.236584,5.209656,5.166859,4.657424,4.708656,4.542265
